run,perturbation,severity,roc_auc,accuracy,eer
ffpp_full_seed0,noise,2,0.621246294259264,0.19433333333333333,0.41592693970479144
ffpp_full_seed0,noise,3,0.5873666572868435,0.194,0.4468995420940881
ffpp_full_seed0,noise,4,0.5398717096006753,0.194,0.47453164837601153
ffpp_full_seed0,resize,0,0.9968563380601957,0.972,0.029079583535852268
ffpp_full_seed0,resize,1,0.8491497048198078,0.8063333333333333,0.23659751178873226
ffpp_full_seed0,resize,2,0.6777906395049728,0.806,0.3687442974938818
ffpp_full_seed0,resize,3,0.6409446334620926,0.806,0.3887403750223837
ffpp_full_seed0,resize,4,0.5872423035708703,0.806,0.4300691548779344
ffpp_full_seed0,contrast,0,0.9968563380601957,0.972,0.029079583535852268
ffpp_full_seed0,contrast,1,0.9932586074089234,0.959,0.04298303957432655
ffpp_full_seed0,contrast,2,0.9791348676450107,0.9103333333333333,0.07712133227597143
ffpp_full_seed0,contrast,3,0.9350308681452679,0.8603333333333333,0.15149053916928878
ffpp_full_seed0,contrast,4,0.8473405359005626,0.821,0.24378799894263814
ffpp_full_banddrop_sas_seed0,jpeg,0,0.9970439345231497,0.9736666666666667,0.022541420446309066
ffpp_full_banddrop_sas_seed0,jpeg,1,0.9507068975808584,0.7456666666666667,0.12536986348093765
ffpp_full_banddrop_sas_seed0,jpeg,2,0.9383255310258968,0.7153333333333334,0.14095955590800954
ffpp_full_banddrop_sas_seed0,jpeg,3,0.8776565506695204,0.6616666666666666,0.20290476068660304
ffpp_full_banddrop_sas_seed0,jpeg,4,0.8117981120974137,0.6616666666666666,0.2656770953245845
ffpp_full_banddrop_sas_seed0,blur,0,0.9970439345231497,0.9736666666666667,0.022541420446309066
ffpp_full_banddrop_sas_seed0,blur,1,0.7687159448466399,0.8063333333333333,0.3004996887604138
ffpp_full_banddrop_sas_seed0,blur,2,0.6040591895264327,0.806,0.42267188525918153
ffpp_full_banddrop_sas_seed0,blur,3,0.548502568081883,0.806,0.4603894332028685
ffpp_full_banddrop_sas_seed0,blur,4,0.5116238747765186,0.806,0.48630332642637264
ffpp_full_banddrop_sas_seed0,noise,0,0.9970439345231497,0.9736666666666667,0.022541420446309066
ffpp_full_banddrop_sas_seed0,noise,1,0.5366807932488012,0.8043333333333333,0.46207566959146607
ffpp_full_banddrop_sas_seed0,noise,2,0.5249538825361905,0.8046666666666666,0.4707136339993008
ffpp_full_banddrop_sas_seed0,noise,3,0.5080520807574349,0.8013333333333333,0.4879895628149702
